SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,zone_share,league_efg_zone,league_zone_share,efg_vs_league_zone
2015,1610612750,Minnesota Timberwolves,Left Corner 3,172,62,62,186,1.0813953488372092,0.54069767441860461,2.5223639829887082E-2,0.56977217249796586,3.5874483094137682E-2,-2.9074498079361244E-2
2015,1610612750,Minnesota Timberwolves,Above the Break 3,933,304,304,912,0.977491961414791,0.4887459807073955,0.13682358117025956,0.51111937523242845,0.19622962782777914,-2.2373394525032952E-2
2015,1610612750,Minnesota Timberwolves,Mid-Range,2370,886,0,1772,0.74767932489451472,0.37383966244725736,0.34755829300483942,0.39560398690865811,0.26162004378496717,-2.1764324461400752E-2
2015,1610612752,New York Knicks,Restricted Area,1842,1034,0,2068,1.1226927252985885,0.56134636264929427,0.27386262265834077,0.60082559651616418,0.32174166869374848,-3.9479233866869912E-2
2015,1610612752,New York Knicks,Right Corner 3,140,53,53,159,1.1357142857142857,0.56785714285714284,2.0814748736247397E-2,0.58766280234721624,0.03399172950620287,-1.9805659490073402E-2
2015,1610612752,New York Knicks,Backcourt,16,1,1,3,0.1875,0.09375,2.3788284269997025E-3,0.03864168618266979,2.0773534419849184E-3,0.05510831381733021
2015,1610612752,New York Knicks,Above the Break 3,1288,449,449,1347,1.045807453416149,0.5229037267080745,0.19149568837347605,0.51111937523242845,0.19622962782777914,1.1784351475646049E-2
2015,1610612752,New York Knicks,In The Paint (Non-RA),881,334,0,668,0.75822928490351871,0.37911464245175935,0.13098424026167113,0.39243700232657208,0.14846509365117977,-1.3322359874812728E-2
2015,1610612752,New York Knicks,Left Corner 3,170,57,57,171,1.0058823529411764,0.50294117647058822,2.5275052036871842E-2,0.56977217249796586,3.5874483094137682E-2,-6.6830996027377632E-2
2015,1610612752,New York Knicks,Mid-Range,2389,954,0,1908,0.7986605274173294,0.3993302637086647,0.35518881950639308,0.39560398690865811,0.26162004378496717,3.7262768000065893E-3
2015,1610612755,Philadelphia 76ers,Restricted Area,2481,1394,0,2788,1.1237404272470779,0.56187021362353895,0.36614521841794567,0.60082559651616418,0.32174166869374848,-3.8955382892625234E-2
2015,1610612755,Philadelphia 76ers,Left Corner 3,232,79,79,237,1.021551724137931,0.51077586206896552,3.4238488783943331E-2,0.56977217249796586,3.5874483094137682E-2,-5.8996310429000332E-2
2015,1610612755,Philadelphia 76ers,Mid-Range,1225,400,0,800,0.65306122448979587,0.32653061224489793,0.18078512396694216,0.39560398690865811,0.26162004378496717,-6.9073374663760179E-2
2015,1610612755,Philadelphia 76ers,Backcourt,18,0,0,0,0,0,2.6564344746162929E-3,0.03864168618266979,2.0773534419849184E-3,-0.03864168618266979
2015,1610612755,Philadelphia 76ers,Above the Break 3,1734,553,553,1659,0.95674740484429066,0.47837370242214533,0.25590318772136955,0.51111937523242845,0.19622962782777914,-3.2745672810283122E-2
2015,1610612755,Philadelphia 76ers,Right Corner 3,175,60,60,180,1.0285714285714285,0.51428571428571423,2.5826446280991736E-2,0.58766280234721624,0.03399172950620287,-7.3377088061502005E-2
2015,1610612755,Philadelphia 76ers,In The Paint (Non-RA),911,279,0,558,0.6125137211855104,0.3062568605927552,0.13444510035419127,0.39243700232657208,0.14846509365117977,-8.6180141733816884E-2
2016,1610612738,Boston Celtics,In The Paint (Non-RA),1002,373,0,746,0.7445109780439122,0.3722554890219561,0.13696008747949701,0.40004632080465857,0.14538248041059584,-2.7790831782702474E-2
2016,1610612738,Boston Celtics,Right Corner 3,255,82,82,246,0.96470588235294119,0.4823529411764706,3.4855112083105523E-2,0.5711277173913043,3.5402827416026517E-2,-8.8774776214833706E-2
2016,1610612738,Boston Celtics,Mid-Range,1667,617,0,1234,0.74025194961007801,0.370125974805039,0.22785675232367414,0.39864666653628772,0.24595825737278312,-2.8520691731248715E-2
2016,1610612738,Boston Celtics,Restricted Area,2507,1509,0,3018,1.2038292780215396,0.6019146390107698,0.34267359212684528,0.60249395786071203,0.32441207736672228,-5.7931884994222305E-4
2016,1610612738,Boston Celtics,Left Corner 3,254,96,96,288,1.1338582677165354,0.56692913385826771,3.4718425369054125E-2,0.56052899287894198,0.03782715146734137,6.4001409793257302E-3
2016,1610612738,Boston Celtics,Above the Break 3,1619,539,539,1617,0.99876466954910437,0.49938233477455218,0.22129579004920721,0.52323332335536166,0.20890073258839884,-2.3850988580809473E-2
2016,1610612738,Boston Celtics,Backcourt,12,0,0,0,0,0,1.6402405686167304E-3,5.7954545454545453E-2,2.1164733781320198E-3,-5.7954545454545453E-2
2016,1610612740,New Orleans Pelicans,Mid-Range,1825,752,0,1504,0.82410958904109588,0.41205479452054794,0.2594171997157072,0.39864666653628772,0.24595825737278312,1.3408127984260221E-2
