SEASON_1,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,league_zone_share
2022,Mid-Range,27712,11264,68,22596,0.81538683602771367,0.40769341801385683,0.12786888271610636
2022,In The Paint (Non-RA),39668,16990,0,33980,0.85660986185338306,0.42830493092669153,0.18303633225976135
2022,Restricted Area,62987,41140,0,82280,1.3063013002683093,0.65315065013415463,0.2906350070597355
2022,Left Corner 3,11377,4371,4371,13113,1.1525885558583107,0.57629427792915533,5.2495824143372616E-2
2022,Above the Break 3,64447,22299,22293,66891,1.0379226341024408,0.51896131705122039,0.2973717481381678
2022,Backcourt,440,11,11,33,7.4999999999999997E-2,3.7499999999999999E-2,2.0302507359658919E-3
2023,Left Corner 3,11064,4261,4261,12783,1.1553687635574836,0.57768438177874182,5.0934536414694781E-2
2023,Backcourt,406,10,10,30,7.3891625615763554E-2,3.6945812807881777E-2,1.869072829389559E-3
2023,Above the Break 3,62624,22200,22196,66596,1.0634261624936128,0.53171308124680638,0.28829757849185156
2023,Mid-Range,25763,10833,61,21727,0.84334122578892212,0.42167061289446106,0.11860325936838229
2023,In The Paint (Non-RA),42441,18827,0,37654,0.88720812421950468,0.44360406210975234,0.19538256145842925
2023,Right Corner 3,9939,3831,3831,11493,1.1563537579233323,0.57817687896166614,4.5755455298775435E-2
2023,Restricted Area,64983,43298,0,86596,1.3325946786082514,0.66629733930412571,0.29915753613847712
2024,Restricted Area,64669,42884,0,85768,1.3262614235568819,0.66313071177844096,0.29569595017855427
2024,Above the Break 3,63770,22939,22936,68814,1.0790967539595422,0.53954837697977109,0.29158531511058478
2024,Left Corner 3,11523,4448,4448,13344,1.1580317625618328,0.57901588128091641,5.2688373624263263E-2
2024,Right Corner 3,10628,4185,4185,12555,1.1813135114791118,0.59065675573955589,4.8596028367497178E-2
2024,Backcourt,433,8,8,24,5.5427251732101619E-2,0.02771362586605081,1.9798720627706322E-3
2024,In The Paint (Non-RA),43089,18982,0,37964,0.88106013135603056,0.44053006567801528,0.19702241873608259
2024,Mid-Range,24589,10293,2,20588,0.83728496482166825,0.41864248241083413,0.11243204192024728
2025,Backcourt,510,12,12,36,7.0588235294117646E-2,3.5294117647058823E-2,2.400542240129535E-3
2025,Mid-Range,20759,8646,2,17294,0.83308444530083336,0.41654222265041668,0.09771148306440984
2025,Left Corner 3,11860,4581,4581,13743,1.1587689713322091,0.57938448566610457,5.5824374446933896E-2
2025,Restricted Area,59235,39296,0,78592,1.3267831518527897,0.66339157592639486,0.27881592077269218
2025,Above the Break 3,66296,23389,23387,70165,1.0583594787015809,0.52917973935079043,0.31205166343456403
2025,Right Corner 3,11056,4300,4300,12900,1.1667872648335744,0.58339363241678721,5.2039990209553216E-2
2025,In The Paint (Non-RA),42736,18933,0,37866,0.88604455260202175,0.44302227630101088,0.20115602583171729
