SEASON_1,TEAM_ID,TEAM_NAME,FGA,FGM,FG3M,Points,PPS,eFG
2007,1610612762,Utah Jazz,6471,3069,354,6492,1.0032452480296707,0.50162262401483537
2025,1610612760,Oklahoma City Thunder,7600,3660,1192,8512,1.1200000000000001,0.56000000000000005
2015,1610612753,Orlando Magic,6792,3076,554,6706,0.98733804475853948,0.49366902237926974
2024,1610612755,Philadelphia 76ers,7331,3404,992,7800,1.0639749011048971,0.53198745055244856
2022,1610612766,Charlotte Hornets,7497,3508,1143,8159,1.0883019874616513,0.54415099373082565
2006,1610612752,New York Knicks,6205,2822,320,5964,0.96116035455278004,0.48058017727639002
2016,1610612751,Brooklyn Nets,6918,3135,530,6800,0.98294304712344605,0.49147152356172302
2020,1610612746,LA Clippers,6425,2992,895,6879,1.0706614785992219,0.53533073929961095
2005,1610612752,New York Knicks,6599,2978,441,6397,0.96938930140930446,0.48469465070465223
2013,1610612760,Oklahoma City Thunder,6503,3125,597,6847,1.052898662155928,0.52644933107796399
2025,1610612747,Los Angeles Lakers,7007,3356,1092,7804,1.1137433994576851,0.55687169972884254
2024,1610612758,Sacramento Kings,7455,3553,1178,8284,1.1112005365526492,0.55560026827632458
2020,1610612766,Charlotte Hornets,5586,2425,785,5635,1.0087719298245614,0.50438596491228072
2009,1610612748,Miami Heat,6645,3034,582,6650,1.000752445447705,0.50037622272385252
2018,1610612737,Atlanta Hawks,7015,3130,917,7177,1.0230933713471133,0.51154668567355666
2011,1610612758,Sacramento Kings,6977,3133,427,6693,0.95929482585638526,0.47964741292819263
2012,1610612758,Sacramento Kings,5712,2490,411,5391,0.94380252100840334,0.47190126050420167
2007,1610612738,Boston Celtics,6454,2858,471,6187,0.95863030678648897,0.47931515339324449
2014,1610612754,Indiana Pacers,6572,2949,550,6448,0.98113207547169812,0.49056603773584906
2024,1610612747,Los Angeles Lakers,7177,3580,969,8129,1.1326459523477777,0.56632297617388883
2021,1610612745,Houston Rockets,6372,2826,992,6644,1.0426867545511613,0.52134337727558067
2018,1610612744,Golden State Warriors,6979,3509,926,7944,1.138271958733343,0.56913597936667149
2024,1610612764,Washington Wizards,7493,3523,1015,8061,1.0758040838115575,0.53790204190577873
2025,1610612765,Detroit Pistons,7363,3503,1051,8057,1.0942550590791797,0.54712752953958987
2004,1610612753,Orlando Magic,6768,2904,429,6237,0.92154255319148937,0.46077127659574468
2004,1610612757,Portland Trail Blazers,6467,2898,381,6177,0.95515695067264572,0.47757847533632286
2017,1610612755,Philadelphia 76ers,6977,3082,825,6989,1.0017199369356458,0.50085996846782288
2007,1610612742,Dallas Mavericks,6442,3010,535,6555,1.0175411362930766,0.50877056814653832
2010,1610612747,Los Angeles Lakers,6875,3144,532,6820,0.99199999999999999,0.496
2022,1610612751,Brooklyn Nets,7251,3442,940,7824,1.0790235829540753,0.53951179147703765
2013,1610612749,Milwaukee Bucks,7196,3128,601,6857,0.95289049471928844,0.47644524735964422
2020,1610612748,Miami Heat,6160,2880,979,6739,1.0939935064935065,0.54699675324675323
2005,1610612741,Chicago Bulls,6592,2849,511,6209,0.94189927184466016,0.47094963592233008
2005,1610612757,Portland Trail Blazers,6422,2896,420,6212,0.96729990657116161,0.4836499532855808
2009,1610612753,Orlando Magic,6416,2929,817,6675,1.0403678304239401,0.52018391521197005
2018,1610612751,Brooklyn Nets,7114,3136,1041,7313,1.0279730109642957,0.51398650548214786
2011,1610612741,Chicago Bulls,6587,3042,511,6595,1.0012145134355548,0.50060725671777739
